x	l	dc
-1.900000e-01	5	7.111426e-01
-1.900000e-01	6	7.136649e-01
-1.800000e-01	0	1.696071e+00
-1.800000e-01	1	9.193284e-01
-1.800000e-01	2	8.488250e-01
-1.800000e-01	3	7.432970e-01
-1.800000e-01	4	7.102378e-01
-1.800000e-01	5	7.252522e-01
-1.800000e-01	6	7.281611e-01
-1.700000e-01	0	1.696071e+00
-1.700000e-01	1	9.527102e-01
-1.700000e-01	2	8.569524e-01
-1.700000e-01	3	7.596108e-01
-1.700000e-01	4	7.259374e-01
-1.700000e-01	5	7.398034e-01
-1.700000e-01	6	7.430492e-01
-1.600000e-01	0	1.696071e+00
-1.600000e-01	1	9.872415e-01
-1.600000e-01	2	8.654538e-01
-1.600000e-01	3	7.761978e-01
-1.600000e-01	4	7.420961e-01
-1.600000e-01	5	7.548117e-01
-1.600000e-01	6	7.583433e-01
-1.500000e-01	0	1.696071e+00
-1.500000e-01	1	1.022922e+00
-1.500000e-01	2	8.743683e-01
-1.500000e-01	3	7.930655e-01
-1.500000e-01	4	7.587215e-01
-1.500000e-01	5	7.702926e-01
-1.500000e-01	6	7.740581e-01
-1.400000e-01	0	1.696071e+00
-1.400000e-01	1	1.059753e+00
-1.400000e-01	2	8.837365e-01
-1.400000e-01	3	8.102220e-01
-1.400000e-01	4	7.758216e-01
-1.400000e-01	5	7.862620e-01
-1.400000e-01	6	7.902091e-01
-1.300000e-01	0	1.696071e+00
-1.300000e-01	1	1.097732e+00
-1.300000e-01	2	8.935999e-01
-1.300000e-01	3	8.276764e-01
-1.300000e-01	4	7.934049e-01
-1.300000e-01	5	8.027360e-01
-1.300000e-01	6	8.068121e-01
-1.200000e-01	0	1.696071e+00
-1.200000e-01	1	1.136861e+00
-1.200000e-01	2	9.040014e-01
-1.200000e-01	3	8.454387e-01
-1.200000e-01	4	8.114800e-01
-1.200000e-01	5	8.197308e-01
-1.200000e-01	6	8.238838e-01
-1.100000e-01	0	1.696071e+00
-1.100000e-01	1	1.177140e+00
-1.100000e-01	2	9.149847e-01
-1.100000e-01	3	8.635202e-01
-1.100000e-01	4	8.300562e-01
-1.100000e-01	5	8.372631e-01
-1.100000e-01	6	8.414416e-01
-1.000000e-01	0	1.696071e+00
-1.000000e-01	1	1.218568e+00
-1.000000e-01	2	9.265948e-01
-1.000000e-01	3	8.819331e-01
-1.000000e-01	4	8.491432e-01
-1.000000e-01	5	8.553498e-01
-1.000000e-01	6	8.595035e-01
-9.000000e-02	0	1.696071e+00
-9.000000e-02	1	1.261146e+00
-9.000000e-02	2	9.388780e-01
-9.000000e-02	3	9.006906e-01
-9.000000e-02	4	8.687513e-01
-9.000000e-02	5	8.740082e-01
-9.000000e-02	6	8.780882e-01
-8.000000e-02	0	1.696071e+00
-8.000000e-02	1	1.304873e+00
-8.000000e-02	2	9.518816e-01
-8.000000e-02	3	9.198075e-01
-8.000000e-02	4	8.888912e-01
-8.000000e-02	5	8.932557e-01
-8.000000e-02	6	8.972151e-01
-7.000000e-02	0	1.696071e+00
-7.000000e-02	1	1.349749e+00
-7.000000e-02	2	9.656539e-01
-7.000000e-02	3	9.392997e-01
-7.000000e-02	4	9.095745e-01
-7.000000e-02	5	9.131104e-01
-7.000000e-02	6	9.169045e-01
-6.000000e-02	0	1.696071e+00
-6.000000e-02	1	1.395775e+00
-6.000000e-02	2	9.802446e-01
-6.000000e-02	3	9.591844e-01
-6.000000e-02	4	9.308131e-01
-6.000000e-02	5	9.335903e-01
-6.000000e-02	6	9.371772e-01
-5.000000e-02	0	1.696071e+00
-5.000000e-02	1	1.442951e+00
-5.000000e-02	2	9.957044e-01
-5.000000e-02	3	9.794804e-01
-5.000000e-02	4	9.526199e-01
-5.000000e-02	5	9.547143e-01
-5.000000e-02	6	9.580549e-01
-4.000000e-02	0	1.696071e+00
-4.000000e-02	1	1.491276e+00
-4.000000e-02	2	1.012085e+00
-4.000000e-02	3	1.000208e+00
